Start date;End date;Net export [MWh] Calculated resolutions;Netherlands (export) [MWh] Calculated resolutions;Netherlands (import) [MWh] Calculated resolutions;Switzerland (export) [MWh] Calculated resolutions;Switzerland (import) [MWh] Calculated resolutions;Denmark (export) [MWh] Calculated resolutions;Denmark (import) [MWh] Calculated resolutions;Czech Republic (export) [MWh] Calculated resolutions;Czech Republic (import) [MWh] Calculated resolutions;Luxembourg (export) [MWh] Calculated resolutions;Luxembourg (import) [MWh] Calculated resolutions;Sweden (export) [MWh] Calculated resolutions;Sweden (import) [MWh] Calculated resolutions;Austria (export) [MWh] Calculated resolutions;Austria (import) [MWh] Calculated resolutions;France (export) [MWh] Calculated resolutions;France (import) [MWh] Calculated resolutions;Poland (export) [MWh] Calculated resolutions;Poland (import) [MWh] Calculated resolutions;Norway (export) [MWh] Calculated resolutions;Norway (import) [MWh] Calculated resolutions;Belgium (export) [MWh] Calculated resolutions;Belgium (import) [MWh] Calculated resolutions
Jan 3, 2023 4:00 AM;Jan 3, 2023 5:00 AM;2,800.75;1,799.25;0.00;450.75;0.00;571.75;-356.00;970.00;-1,286.00;105.75;0.00;0.00;-617.00;1,030.00;-152.50;0.00;-1,438.00;342.00;-5.00;1,177.50;0.00;208.25;0.00
Jan 3, 2023 5:00 AM;Jan 3, 2023 6:00 AM;1,813.25;1,045.75;0.00;685.25;0.00;196.50;-374.25;1,127.00;-1,159.00;121.00;0.00;0.00;-617.00;1,164.75;-160.25;0.00;-1,742.00;726.00;0.00;594.75;0.00;204.75;0.00
Jan 3, 2023 6:00 AM;Jan 3, 2023 7:00 AM;1,220.75;704.50;0.00;414.25;-2.25;0.00;-1,134.50;1,685.00;-617.00;134.25;0.00;0.00;-617.00;1,533.00;-142.25;0.00;-2,147.00;1,462.00;0.00;25.25;-5.50;0.00;-72.00
Jan 3, 2023 7:00 AM;Jan 3, 2023 8:00 AM;352.00;1,297.50;0.00;245.50;-55.00;0.00;-1,656.00;1,591.00;-715.00;235.25;0.00;0.00;-617.00;914.50;-188.25;0.00;-1,729.00;1,105.00;0.00;0.00;-127.25;65.00;-14.25
Jan 3, 2023 8:00 AM;Jan 3, 2023 9:00 AM;-521.25;640.00;0.00;235.25;-185.75;0.00;-836.25;1,442.00;-742.00;186.00;0.00;0.00;-617.00;630.25;-226.25;0.00;-2,300.00;1,084.00;0.00;0.00;-246.25;414.75;0.00
Jan 3, 2023 9:00 AM;Jan 3, 2023 10:00 AM;1,099.50;744.25;0.00;453.50;-1.75;1.00;-192.25;1,393.00;-801.00;283.25;0.00;0.00;-312.00;909.00;-74.50;0.00;-2,152.00;971.00;0.00;0.00;-10.25;2.75;-114.50
Jan 3, 2023 10:00 AM;Jan 3, 2023 11:00 AM;1,785.75;1,131.25;0.00;496.25;-2.75;7.75;-442.25;1,336.00;-882.00;252.00;0.00;0.00;-24.00;1,005.00;-73.25;0.00;-2,198.00;813.00;0.00;0.00;0.00;366.75;0.00
Jan 3, 2023 11:00 AM;Jan 3, 2023 12:00 PM;3,129.00;1,100.25;0.00;1,177.50;0.00;0.00;-464.75;1,364.00;-846.00;312.75;0.00;0.00;0.00;1,467.50;-44.00;0.00;-1,980.00;811.00;0.00;0.00;-1.25;232.00;0.00
Jan 3, 2023 12:00 PM;Jan 3, 2023 1:00 PM;1,817.25;721.75;0.00;735.50;0.00;0.00;-547.00;1,449.00;-577.00;243.50;0.00;0.00;0.00;1,383.75;-35.50;0.00;-2,408.00;1,155.00;0.00;0.00;-27.00;0.00;-276.75
Jan 3, 2023 1:00 PM;Jan 3, 2023 2:00 PM;1,812.25;262.25;-59.50;863.75;0.00;53.00;-71.50;1,416.00;-375.00;183.75;0.00;0.00;0.00;1,424.25;-82.75;0.00;-2,782.00;1,241.00;0.00;0.00;-30.25;0.00;-230.75
